"","x"
"1298","SART3"
"1299","ARHGAP15"
"1300","TUBA3D"
"1301","PAX2"
"1302","EXOSC7"
"1303","KIFAP3"
"1304","MKRN2"
"1305","MCM6"
"1306","REXO2"
"1307","RBM7"
"1308","RBMS2"
"1309","BAZ2A"
"1310","PTPN23"
"1311","MLH1"
"1312","UNG"
"1313","FMO4"
"1314","KLHL20"
"1315","RGS11"
"1316","SLC46A1"
"1317","PLXNA2"
"1318","ANKRD13A"
"1319","TPD52"
"1320","ACACB"
"1321","TRAF4"
"1322","PAG1"
"1323","GPATCH1"
"1324","ICAM3"
"1325","NT5C2"
"1326","MCAM"
"1327","GPC4"
"1328","MBNL3"
"1329","CAMSAP3"
"1330","RAP1GAP"
"1331","XAB2"
"1332","LOC100505585"
"1333","STXBP2"
"1334","MAP2K7"
"1335","NMRK2"
"1336","DGKD"
"1337","CTTNBP2"
"1338","ACTL6B"
"1339","RARB"
"1340","TOP2B"
"1341","TM9SF3"
"1342","NFKB2"
"1343","UBE2T"
"1344","PPP1R12B"
"1345","DNAJC10"
"1346","GTF3C1"
"1347","IL4R"
"1348","USP33"
"1349","PAK3"
"1350","CAPN6"
"1351","DCX"
"1352","SNRPA"
"1353","SPAG6"
"1354","EXOSC5"
"1355","DYNC1I2"
"1356","APBB1IP"
"1357","LRCH4"
"1358","FAM76B"
"1359","SIRT6"
"1360","TYR"
"1361","POLD3"
"1362","ACTN2"
"1363","CAPZB"
"1364","GPR137B"
"1365","NAALAD2"
"1366","JADE1"
"1367","SLC25A43"
"1368","UBE2A"
"1369","FGFR1"
"1370","FKBP6"
"1371","SMC1B"
"1372","FBLN1"
"1373","ITGA8"
"1374","CST7"
"1375","MAP2"
